,Answer_Score,Answer_Body,Answer_CommentCount,Id,CreationDate,Score,Body,CommentCount,AcceptedAnswerId,ViewCount,Title,Tags,AnswerCount,FavoriteCount,dect_title_que
10,65,"this has religious war potential, but it seems to me that if you're using a getter/setter, you should use it internally as well - using both will lead to maintenance problems down the road (e.g. somebody adds code to a setter that needs to run every time that property is set, and the property is being set internally w/o that setter being called).
",3,126,2008-08-01T16:10:30.337,105,"<p>What is the ""purist"" or ""correct"" way to access an object's properties from within an object method that is not a getter/setter method?</p>

<p>I know that from outside of the object you should use a getter/setter, but from within would you just do:</p>

<p>Java:</p>

<pre><code>String property = this.property;
</code></pre>

<p>PHP:</p>

<pre><code>$property = $this->property;
</code></pre>

<p>or would you do:</p>

<p>Java:</p>

<pre><code>String property = this.getProperty();
</code></pre>

<p>PHP:</p>

<pre><code>$property = $this->getProperty();
</code></pre>

<p>Forgive me if my Java is a little off, it's been a year since I programmed in Java...</p>

<p><strong>EDIT:</strong></p>

<p>It seems people are assuming I am talking about private or protected variables/properties only. When I learned OO I was taught to use getters/setters for every single property even if it was public (and actually I was told never to make any variable/property public). So, I may be starting off from a false assumption from the get go. It appears that people answering this question are maybe saying that you should have public properties and that those don't need getters and setters, which goes against what I was taught, and what I was talking about, although maybe that needs to be discussed as well. That's probably a good topic for a different question though...</p>
",1,127.0,23701,How would you access Object properties from within an object method?,<java><php><oop><theory>,18,0.0,Question
11,59,"the best way that i have found is the mysql migration toolkit provided by mysql.  i have used it successfully for some large migration projects.
",4,129,2008-08-01T16:22:42.420,90,"<p>I've been banging my head against <code>SQL Server 2005</code> trying to get a lot of data out.  I've been given a database with nearly 300 tables in it and I need to turn this into a MySQL database.  My first call was to use bcp but unfortunately it doesn't produce valid CSV - strings aren't encapsulated, so you can't deal with any row that has a string with a comma in it (or whatever you use as a delimiter) and I would still have to hand write all of the create table statements, as obviously CSV doesn't tell you anything about the data types.</p>

<p>What would be better is if there was some tool that could connect to both SQL Server and MySQL, then do a copy. You lose views, stored procedures, trigger, etc, but it isn't hard to copy a table that only uses base types from one DB to another... is it?</p>

<p>Does anybody know of such a tool?  I don't mind how many assumptions it makes or what simplifications occur, as long as it supports integer, float, datetime and string. I have to do a lot of pruning, normalising, etc. anyway so I don't care about keeping keys, relationships or anything like that, but I need the initial set of data in fast!</p>
",5,,96578,How to export data from SQL Server 2005 to MySQL,<mysql><sql-server><csv><sql-server-2005><bcp>,5,0.0,Question
12,43,"the funny thing is i wrote a php media gallery for all my musics 2 days ago. i had a similar problem.  i'm using http://musicplayer.sourceforge.net/ for the player. and the playlist is built via php. all music requests go to a script called xfer.php?file=whatever
$filename = base64_url_decode($_request['file']);
header(""cache-control: public"");
header('content-disposition: attachment; filename='.basename($filename));
header(""content-transfer-encoding: binary"");
header('content-length: '. filesize($filename));

//  put either file counting code here, either a db or static files
//
readfile($filename);  //and spit the user the file

function base64_url_decode($input) {
    return base64_decode(strtr($input, '-_,', '+/='));
}

and when you call files use something like:
function base64_url_encode($input) {
     return strtr(base64_encode($input), '+/=', '-_,');
}

http://us.php.net/manual/en/function.base64-encode.php
if you are using some javascript or a flash player (jw player for example) that requires the actual link of an mp3 file or whatever, you can append the text ""&type=.mp3"" so the final link becomes something like:
""www.example.com/xfer.php?file=34842ffjfjxfh&type=.mp3"". that way it looks like it ends with an mp3 extension without affecting the file link.
",6,146,2008-08-01T17:14:58.337,89,"<p>I have a website that plays mp3s in a flash player. If a user clicks 'play' the flash player automatically downloads an mp3 and starts playing it. </p>

<p>Is there an easy way to track how many times a particular song clip (or any binary file) has been downloaded?</p>

<hr>

<blockquote>
  <p>Is the play link a link to the actual
  mp3 file or to some javascript code
  that pops up a player?</p>
  
  <p>If the latter, you can easily add your
  own logging code in there to track the
  number of hits to it.</p>
  
  <p>If the former, you'll need something
  that can track the web server log
  itself and make that distinction. My
  hosting plan comes with Webalizer,
  which does this nicely.</p>
</blockquote>

<p>It's a javascript code so that answers that. </p>

<p>However, it would be nice to know how to track downloads using the other method (without switching hosts).</p>
",0,152.0,21381,How do I track file downloads,<php><apache><logging><download><analytics>,8,0.0,Question
13,32,"looks like jeff is using cruisecontrol.net based on some leafing through the podcast transcripts. this seems to have automated deployment capabilities from source control to production. might this be where the insertion is happening?
",2,163,2008-08-01T18:00:13.830,101,"<p>Stack Overflow has a subversion version number at the bottom:</p>

<blockquote>
  <p>svn revision: 679</p>
</blockquote>

<p>I want to use such automatic versioning with my <code>.NET Web Site/Application</code>, Windows Forms, WPD projects/solutions.</p>

<p>How do I implement this?</p>
",3,170.0,9425,How do I sync the SVN revision number with my ASP.NET web site?,<.net><asp.net><svn><versioning>,7,0.0,Question
14,188,"martin fowler wrote my favorite article on the subject, http://martinfowler.com/articles/evodb.html.  i choose not to put schema dumps in under version control as alumb and others suggest because i want an easy way to upgrade my production database.

for a web application where i'll have a single production database instance, i use two techniques:

database upgrade scripts

a sequence database upgrade scripts that contain the ddl necessary to move the schema from version n to n+1.  (these go in your version control system.)  a _version_history_ table, something like

create table versionhistory (
    version int primary key,
    upgradestart datetime not null,
    upgradeend datetime
    );


gets a new entry every time an upgrade script runs which corresponds to the new version.

this ensures that it's easy to see what version of the database schema exists and that database upgrade scripts are run only once.  again, these are not database dumps.  rather, each script represents the changes necessary to move from one version to the next.  they're the script that you apply to your production database to ""upgrade"" it.

developer sandbox synchronization


a script to backup, sanitize, and shrink a production database.  run this after each upgrade to the production db.
a script to restore (and tweak, if necessary) the backup on a developer's workstation.  each developer runs this script after each upgrade to the production db.


a caveat: my automated tests run against a schema-correct but empty database, so this advice will not perfectly suit your needs.
",8,173,2008-08-01T18:33:08.333,337,"<p>I want to get my databases under version control.</p>
<p>I'll always want to have at least <em>some</em> data in there (as <a href=""https://stackoverflow.com/users/80/alumb"">alumb</a> mentions: user types and administrators). I'll also often want a large collection of generated test data for performance measurements.</p>
<p>How would I apply version control to my database?</p>
",1,516.0,114312,How to do version control for SQL Server database?,<sql-server><database><svn><version-control>,30,0.0,Question
15,36,"you can print from the command line using the following:


  rundll32.exe
  %windir%\system32\mshtml.dll,printhtml
  ""%1""


where %1 is the file path of the html file to be printed.

if you don't need to print from memory (or can afford to write to the disk in a temp file) you can use:

using (process printprocess = new process())
{
    string systempath = environment.getfolderpath(environment.specialfolder.system);
    printprocess.startinfo.filename = systempath + @""\rundll32.exe"";
    printprocess.startinfo.arguments = systempath + @""\mshtml.dll,printhtml """""" + filetoprint + @"""""""";
    printprocess.start();
}


n.b. this only works on windows 2000 and above i think.
",2,174,2008-08-01T18:33:48.287,86,"<p>I want to print HTML from a C# web service.  The web browser control is overkill, and does not function well in a service environment, nor does it function well on a system with very tight security constraints.  Is there any sort of free <code>.NET</code> library that will support the printing of a basic HTML page?  Here is the code I have so far, which does not run properly.</p>

<pre><code>public void PrintThing(string document)
{
    if (Thread.CurrentThread.GetApartmentState() != ApartmentState.STA)
    {
        Thread thread =
            new Thread((ThreadStart) delegate { PrintDocument(document); });
        thread.SetApartmentState(ApartmentState.STA);
        thread.Start();
    }
    else
    {
        PrintDocument(document);
    }
}

protected void PrintDocument(string document)
{
    WebBrowser browser = new WebBrowser();
    browser.DocumentText = document;
    while (browser.ReadyState != WebBrowserReadyState.Complete)
    {
        Application.DoEvents();
    }
    browser.Print();
}
</code></pre>

<p>This works fine when called from UI-type threads, but nothing happens when called from a service-type thread.  Changing <code>Print()</code> to <code>ShowPrintPreviewDialog()</code> yields the following IE script error:</p>

<blockquote>
  <p><strong>Error:</strong> <code>dialogArguments.___IE_PrintType</code> is null or not an object. </p>
  
  <p>URL: <code>res://ieframe.dll/preview.dlg</code></p>
</blockquote>

<p>And a small empty print preview dialog appears.</p>
",4,,17297,How do I print an HTML document from a web service?,<c#><html><web-services><printing>,7,0.0,Question
16,34,"off the top of my head...

$artist = array(""the roots"",""michael jackson"",""billy idol"",""more"",""and more"",""and_yet_more"");
$count = array(5,3,9,1,1,3);
$highest = max($count);
for (int $x = 0; $x < count($artist); $x++)
{
    $normalized = $count[$x] / $highest;
    $heading = ceil($normalized * 6); // 6 heading types
    echo """".$artist[$x]."""";
}

",0,227,2008-08-01T21:40:55.833,80,"<p>I have the following arrays:</p>

<pre><code>$artist = array(""the roots"", ""michael jackson"", ""billy idol"", ""more"", ""and more"", ""and_YET_MORE"");
$count = array(5, 3, 9, 1, 1, 3);
</code></pre>

<p>I want to generate a tag cloud that will have artists with a higher number in <code>$count</code> enclosed in <code>h6</code> tags and the lowest enclosed <code>h1</code> tags.</p>
",0,2943318.0,9377,What's the best way to generate a tag cloud from an array using h1 through h6 for sizing?,<php><arrays><tag-cloud>,8,0.0,Question
17,565,"use:

using system.linq.enumerable;
...
list> mylist = adictionary.tolist();

mylist.sort(
    delegate(keyvaluepair pair1,
    keyvaluepair pair2)
    {
        return pair1.value.compareto(pair2.value);
    }
);


since you're targeting .net 2.0 or above, you can simplify this into lambda syntax -- it's equivalent, but shorter. if you're targeting .net 2.0 you can only use this syntax if you're using the compiler from visual&nbsp;studio&nbsp;2008 (or above).

var mylist = adictionary.tolist();

mylist.sort((pair1,pair2) => pair1.value.compareto(pair2.value));

",9,289,2008-08-02T00:40:58.200,929,"<p>I often have to sort a dictionary (consisting of keys & values) by value. For example, I have a hash of words and respective frequencies that I want to order by frequency.</p>
<p>There is a <code>SortedList</code> which is good for a single value (say frequency), that I want to map back to the word.</p>
<p><a href=""http://msdn.microsoft.com/en-us/library/f7fta44c.aspx"" rel=""noreferrer"">SortedDictionary</a> orders by key, not value. Some resort to a <a href=""http://www.codeproject.com/KB/recipes/lookupcollection.aspx"" rel=""noreferrer"">custom class</a>, but is there a cleaner way?</p>
",3,298.0,774121,How do you sort a dictionary by value?,<c#><.net><sorting><dictionary>,22,0.0,Question
18,64,"in ruby on rails, there's a concept of a migration -- a quick script to change the database.

you generate a migration file, which has rules to increase the db version (such as adding a column) and rules to downgrade the version (such as removing a column). each migration is numbered, and a table keeps track of your current db version.

to migrate up, you run a command called ""db:migrate"" which looks at your version and applies the needed scripts. you can migrate down in a similar way.

the migration scripts themselves are kept in a version control system -- whenever you change the database you check in a new script, and any developer can apply it to bring their local db to the latest version.
",1,308,2008-08-02T01:52:54.653,130,"<p>I often run into the following problem.</p>

<p>I work on some changes to a project that require new tables or columns in the database. I make the database modifications and continue my work. Usually, I remember to write down the changes so that they can be replicated on the live system. However, I don't always remember what I've changed and I don't always remember to write it down.</p>

<p>So, I make a push to the live system and get a big, obvious error that there is no <code>NewColumnX</code>, ugh.</p>

<p>Regardless of the fact that this may not be the best practice for this situation, is there a version control system for databases? I don't care about the specific database technology. I just want to know if one exists. If it happens to work with MS SQL Server, then great.</p>
",2,360.0,36810,Is there a version control system for database structure changes?,<sql><database><oracle><version-control>,22,0.0,Question
19,30,"i would be a bit reluctant to use nested classes here.  what if you created an abstract base class for a ""multimedia driver"" to handle the back-end stuff (workhorse), and a separate class for the front-end work?  the front-end class could take a pointer/reference to an implemented driver class (for the appropriate media type and situation) and perform the abstract operations on the workhorse structure.

my philosophy would be to go ahead and make both structures accessible to the client in a polished way, just under the assumption they would be used in tandem.

i would reference something like a qtextdocument in qt.  you provide a direct interface to the bare metal data handling, but pass the authority along to an object like a qtextedit to do the manipulation.
",0,330,2008-08-02T02:51:36.470,58,"<p>I am working on a collection of classes used for video playback and recording. I have one main class which acts like the public interface, with methods like <code>play()</code>, <code>stop()</code>, <code>pause()</code>, <code>record()</code> etc... Then I have workhorse classes which do the video decoding and video encoding. </p>

<p>I just learned about the existence of nested classes in C++, and I'm curious to know what programmers think about using them. I am a little wary and not really sure what the benefits/drawbacks are, but they seem (according to the book I'm reading) to be used in cases such as mine.</p>

<p>The book suggests that in a scenario like mine, a good solution would be to nest the workhorse classes inside the interface class, so there are no separate files for classes the client is not meant to use, and to avoid any possible naming conflicts? I don't know about these justifications. Nested classes are a new concept to me. Just want to see what programmers think about the issue.</p>
",0,332.0,4889,Should I use nested classes in this case?,<c++><oop><class><nested-class>,10,,Question
20,78,"i was glad to find a good conversation on this subject, as i hadn't really given it much thought before.
in summary, signed is a good general choice - even when you're dead sure all the numbers are positive - if you're going to do arithmetic on the variable (like in a typical for loop case).
unsigned starts to make more sense when:

you're going to do bitwise things like masks, or
you're desperate to to take advantage of the sign bit for that extra positive range .

personally, i like signed because i don't trust myself to stay consistent and avoid mixing the two types (like the article warns against).
",1,336,2008-08-02T03:34:44.763,89,"<p>When is it appropriate to use an unsigned variable over a signed one? What about in a <code>for</code> loop?</p>

<p>I hear a lot of opinions about this and I wanted to see if there was anything resembling a consensus. </p>

<pre><code>for (unsigned int i = 0; i < someThing.length(); i++) {  
    SomeThing var = someThing.at(i);  
    // You get the idea.  
}
</code></pre>

<p>I know Java doesn't have unsigned values, and that must have been a concious decision on <a href=""https://en.wikipedia.org/wiki/Sun_Microsystems"" rel=""noreferrer"">Sun Microsystems</a>' part. </p>
",2,339.0,26935,When to use unsigned values over signed ones?,<language-agnostic><types>,5,0.0,Question
21,352,"use email authentication methods, such as spf, and dkim to prove that your emails and your domain name belong together, and to prevent spoofing of your domain name. the spf website includes a wizard to generate the dns information for your site.
check your reverse dns to make sure the ip address of your mail server points to the domain name that you use for sending mail.
make sure that the ip-address that you're using is not on a blacklist
make sure that the reply-to address is a valid, existing address.
use the full, real name of the addressee in the to field, not just the email-address (e.g. ""john smith""  ).
monitor your abuse accounts, such as abuse@yourdomain.example and postmaster@yourdomain.example. that means - make sure that these accounts exist, read what's sent to them, and act on complaints.
finally, make it really easy to unsubscribe. otherwise, your users will unsubscribe by pressing the spam button, and that will affect your reputation.
that said, getting hotmail to accept your emails remains a black art.
",6,371,2008-08-02T08:19:18.260,461,"<p>This is a tricky one and I've always relied on techniques, such as permission-based emails (i.e. only sending to people you have permission to send to) and not using blatantly <em>spamish</em> terminology.</p>

<p>Of late, some of the emails I send out programmatically have started being shuffled into people's spam folder automatically and I'm wondering what I can do about it.</p>

<p>This is despite the fact that these particular emails are not ones that humans would mark as spam, specifically, they are emails that contain license keys that people have paid good money for, so I don't think they're going to consider them spam</p>

<p>I figure this is a big topic in which I am essentially an ignorant simpleton.</p>
",0,396.0,115424,How do you make sure email you send programmatically is not automatically marked as spam?,<email><email-spam>,24,0.0,Question
